id,propertyTaskProcedure_Id,propertyTask_Id,procedures_Id,sequence_Order
1027,1027,197,47,2
1028,1028,197,50,3
1029,1029,198,55,1
1030,1030,198,47,2
1031,1031,198,50,3
1032,1032,199,69,1
1033,1033,199,68,2
1034,1034,199,47,3
1035,1035,199,72,4
1036,1036,200,69,1
1037,1037,200,68,2
1038,1038,200,47,3
1039,1039,200,72,4
1040,1040,201,69,1
1041,1041,201,68,2
1042,1042,201,47,3
1043,1043,201,72,4
1044,1044,202,69,1
1045,1045,202,68,2
1046,1046,202,47,3
1047,1047,202,72,4
1048,1048,203,69,1
1049,1049,203,68,2
1050,1050,203,47,3
1051,1051,203,72,4
1052,1052,204,57,1
1053,1053,204,58,2
1054,1054,205,55,1
1055,1055,205,47,2
1056,1056,205,103,3
1057,1057,206,55,1
1058,1058,206,47,2
1059,1059,206,103,3
1060,1060,207,55,1
1061,1061,207,47,2
1062,1062,207,103,3
1063,1063,208,55,1
1064,1064,208,47,2
1065,1065,208,103,3
1066,1066,209,55,1
1067,1067,209,47,2
1068,1068,209,103,3
1069,1069,210,55,1
1070,1070,210,47,2
1071,1071,210,50,3
1072,1072,211,55,1
1073,1073,211,47,2
1074,1074,211,103,3
1075,1075,212,88,1
1076,1076,213,57,1
1077,1077,213,88,2
1078,1078,214,57,1
1079,1079,214,88,2
1080,1080,215,57,1
1081,1081,215,88,2
1082,1082,216,57,1
1083,1083,216,88,2
1084,1084,217,57,1
1085,1085,217,88,2
1086,1086,220,69,1
1087,1087,220,68,2
1088,1088,220,47,3
1089,1089,220,72,4
1090,1090,221,69,1
1091,1091,221,68,2
1092,1092,221,47,3
1093,1093,221,72,4
1094,1094,222,69,1
1095,1095,222,68,2
1096,1096,222,47,3
1097,1097,222,72,4
1098,1098,223,69,1
1099,1099,223,68,2
1100,1100,223,47,3
1101,1101,223,72,4
1102,1102,225,52,1
1103,1103,225,47,2
1104,1104,225,48,3
1105,1105,227,58,1
1106,1106,228,69,1
1107,1107,228,47,2
1108,1108,228,101,3
1109,1109,229,58,1
1110,1110,230,58,1
1111,1111,231,69,1
1112,1112,231,47,2
1113,1113,231,101,3
1114,1114,232,69,1
1115,1115,232,47,2
1116,1116,232,101,3
1117,1117,233,58,1
1118,1118,234,68,1
1119,1119,234,69,2
1120,1120,234,47,3
1121,1121,234,57,4
1122,1122,235,68,1
1123,1123,235,69,2
1124,1124,235,47,3
1125,1125,235,57,4
1126,1126,236,68,1
1127,1127,236,69,2
1128,1128,236,47,3
1129,1129,236,57,4
1130,1130,237,75,1
1131,1131,238,75,1
1132,1132,239,75,1
1133,1133,240,75,1
1134,1134,241,58,1
1135,1135,242,69,1
1136,1136,242,68,2
1137,1137,242,47,3
1138,1138,242,72,4
1139,1139,243,68,1
1140,1140,243,71,2
1141,1141,243,47,3
1142,1142,243,78,4
1143,1143,244,58,1
1144,1144,245,75,1
1145,1145,246,68,1
1146,1146,246,71,2
1147,1147,246,47,3
1148,1148,246,78,4
1149,1149,247,69,1
1150,1150,247,68,2
1151,1151,247,47,3
1152,1152,247,72,4
1153,1153,248,69,1
1154,1154,248,68,2
1155,1155,248,47,3
1156,1156,248,72,4
1157,1157,249,69,1
1158,1158,249,68,2
1159,1159,249,47,3
1160,1160,249,72,4
1161,1161,250,69,1
1162,1162,250,68,2
1163,1163,250,47,3
1164,1164,250,72,4
1165,1165,251,68,1
1166,1166,251,69,2
1167,1167,251,47,3
1168,1168,251,74,4
1169,1169,252,68,1
1170,1170,252,69,2
1171,1171,252,47,3
1172,1172,252,74,4
1173,1173,253,68,1
1174,1174,253,69,2
1175,1175,253,47,3
1176,1176,253,74,4
1177,1177,254,68,1
1178,1178,254,69,2
1179,1179,254,47,3
1180,1180,254,74,4
1181,1181,255,58,1
1182,1182,256,58,1
1183,1183,258,52,1
1184,1184,258,66,2
1185,1185,259,52,1
1186,1186,259,66,2
1187,1187,260,52,1
1188,1188,260,66,2
1189,1189,261,52,1
1190,1190,261,66,2
1191,1191,262,69,1
1192,1192,262,68,2
1193,1193,262,47,3
1194,1194,262,72,4
1195,1195,263,69,1
1196,1196,263,68,2
1197,1197,263,47,3
1198,1198,263,72,4
1199,1199,264,69,1
1200,1200,264,68,2
1201,1201,264,47,3
1202,1202,264,72,4
1203,1203,265,69,1
1204,1204,265,68,2
1205,1205,265,47,3
1206,1206,265,72,4
1207,1207,266,69,1
1208,1208,266,68,2
1209,1209,266,47,3
1210,1210,266,72,4
1211,1211,267,55,1
1212,1212,267,47,2
1213,1213,267,50,3
1214,1214,268,55,1
1215,1215,268,47,2
1216,1216,268,103,3
1217,1217,269,69,1
1218,1218,269,68,2
1219,1219,269,47,3
1220,1220,269,72,4
1221,1221,270,57,1
1222,1222,270,88,2
1223,1223,271,58,1
1224,1224,272,57,1
1225,1225,272,88,2
1226,1226,273,58,1
1227,1227,274,68,1
1228,1228,274,69,2
1229,1229,274,47,3
1230,1230,274,74,4
1231,1231,275,68,1
1232,1232,275,69,2
1233,1233,275,47,3
1234,1234,275,74,4
1235,1235,276,68,1
1236,1236,276,69,2
1237,1237,276,47,3
1238,1238,276,74,4
1239,1239,277,68,1
1240,1240,277,69,2
1241,1241,277,47,3
1242,1242,277,74,4
1243,1243,278,55,1
1244,1244,278,47,2
1245,1245,278,50,3
1246,1246,279,55,1
1247,1247,279,47,2
1248,1248,279,50,3
1249,1249,280,55,1
1250,1250,280,47,2
1251,1251,280,77,3
1252,1252,281,55,1
1253,1253,281,47,2
1254,1254,281,77,3
1255,1255,282,58,1
1256,1256,283,58,1
1257,1257,284,55,1
1258,1258,284,47,2
1259,1259,284,103,3
1260,1260,285,55,1
1261,1261,285,47,2
1262,1262,285,103,3
1263,1263,286,55,1
1264,1264,286,47,2
1265,1265,286,77,3
1266,1266,287,55,1
1267,1267,287,47,2
1268,1268,287,77,3
1269,1269,288,68,1
1270,1270,288,69,2
1271,1271,288,47,3
1272,1272,288,74,4
1273,1273,289,69,1
1274,1274,289,68,2
1275,1275,289,47,3
1276,1276,289,72,4
1277,1277,290,75,1
1278,1278,291,55,1
1279,1279,291,47,2
1280,1280,291,77,3
1281,1281,292,55,1
1282,1282,292,47,2
1283,1283,292,77,3
1284,1284,293,55,1
1285,1285,293,47,2
1286,1286,293,77,3
1287,1287,294,55,1
1288,1288,294,47,2
1289,1289,294,77,3
1290,1290,295,55,1
1291,1291,295,47,2
1292,1292,295,77,3
1293,1293,296,55,1
1294,1294,296,47,2
1295,1295,296,77,3
1296,1296,297,55,1
1297,1297,297,47,2
1298,1298,297,77,3
1299,1299,298,55,1
1300,1300,298,47,2
1301,1301,298,77,3
1302,1302,299,55,1
1303,1303,299,47,2
1304,1304,299,77,3
1305,1305,303,55,1
1306,1306,303,47,2
1307,1307,303,50,3
1308,1308,304,55,1
1309,1309,304,47,2
1310,1310,304,103,3
1311,1311,305,55,1
1312,1312,305,47,2
1313,1313,305,103,3
1314,1314,306,55,1
1315,1315,306,47,2
1316,1316,306,103,3
1317,1317,307,55,1
1318,1318,307,47,2
1319,1319,307,103,3
1320,1320,308,55,1
1321,1321,308,47,2
1322,1322,308,103,3
1323,1323,309,55,1
1324,1324,309,47,2
1325,1325,309,50,3
1326,1326,310,55,1
1327,1327,310,47,2
1328,1328,310,50,3
1329,1329,311,55,1
1330,1330,311,47,2
1331,1331,311,74,3
1332,1332,312,55,1
1333,1333,312,47,2
1334,1334,312,74,3
1335,1335,313,55,1
1336,1336,313,47,2
1337,1337,313,50,3
1338,1338,314,75,1
1339,1339,315,75,1
1340,1340,316,75,1
1341,1341,317,68,1
1342,1342,317,69,2
1343,1343,317,47,3
1344,1344,317,57,4
1345,1345,318,58,1
1346,1346,319,68,1
1347,1347,319,69,2
1348,1348,319,47,3
1349,1349,319,74,4
1350,1350,320,69,1
1351,1351,320,68,2
1352,1352,320,47,3
1353,1353,320,72,4
1354,1354,321,104,1
1355,1355,322,57,1
1356,1356,322,58,2
1357,1357,323,57,1
1358,1358,323,58,2
1359,1359,324,104,1
1360,1360,325,55,1
1361,1361,325,47,2
1362,1362,325,105,3
1363,1363,326,55,1
1364,1364,326,47,2
1365,1365,326,105,3
1366,1366,327,55,1
1367,1367,327,47,2
1368,1368,327,105,3
1369,1369,328,104,1
1370,1370,329,75,1
1371,1371,330,75,1
1372,1372,331,75,1
1373,1373,332,75,1
1374,1374,333,75,1
1375,1375,334,75,1
1376,1376,335,75,1
1377,1377,336,75,1
1378,1378,337,57,1
1379,1379,337,58,2
1380,1380,338,57,1
1381,1381,338,58,2
1382,1382,339,57,1
1383,1383,339,58,2
1384,1384,340,57,1
1385,1385,340,58,2
1386,1386,341,57,1
1387,1387,341,58,2
1388,1388,342,57,1
1389,1389,342,58,2
1390,1390,343,75,1
1391,1391,344,57,1
1392,1392,344,58,2
1393,1393,345,57,1
1394,1394,345,88,2
1395,1395,346,57,1
1396,1396,346,88,2
1397,1397,347,57,1
1398,1398,347,88,2
1399,1399,348,57,1
1400,1400,348,88,2
1401,1401,349,57,1
1402,1402,349,88,2
1403,1403,350,57,1
1404,1404,350,88,2
1405,1405,351,68,1
1406,1406,351,69,2
1407,1407,351,47,3
1408,1408,351,57,4
1409,1409,352,68,1
1410,1410,352,69,2
1411,1411,352,47,3
1412,1412,352,57,4
1413,1413,353,68,1
1414,1414,353,69,2
1415,1415,353,47,3
1416,1416,353,57,4
1417,1417,354,68,1
1418,1418,354,69,2
1419,1419,354,47,3
1420,1420,354,57,4
1421,1421,355,68,1
1422,1422,355,69,2
1423,1423,355,47,3
1424,1424,355,57,4
1425,1425,356,68,1
1426,1426,356,69,2
1427,1427,356,47,3
1428,1428,356,57,4
1429,1429,357,57,1
1430,1430,357,58,2
1431,1431,358,57,1
1432,1432,358,58,2
1433,1433,359,68,1
1434,1434,359,69,2
1435,1435,359,47,3
1436,1436,359,72,4
1437,1437,360,68,1
1438,1438,360,69,2
1439,1439,360,47,3
1440,1440,360,72,4
1441,1441,361,75,1
1442,1442,362,75,1
1443,1443,363,75,1
1444,1444,364,69,1
1445,1445,364,47,2
1446,1446,365,69,1
1447,1447,365,47,2
1448,1448,366,69,1
1449,1449,366,47,2
1450,1450,367,69,1
1451,1451,367,47,2
1452,1452,367,101,3
1453,1453,368,69,1
1454,1454,368,47,2
1455,1455,368,101,3
1456,1456,369,69,1
1457,1457,369,47,2
1458,1458,369,101,3
1459,1459,370,75,1
1460,1460,371,57,1
1461,1461,371,58,2
1462,1462,372,57,1
1463,1463,372,58,2
1464,1464,373,58,1
1465,1465,374,58,1
1466,1466,375,75,1
1467,1467,376,57,1
1468,1468,376,58,2
1469,1469,377,57,1
1470,1470,377,58,2
1471,1471,378,57,1
1472,1472,378,58,2
1473,1473,379,57,1
1474,1474,379,58,2
1475,1475,380,58,1
1476,1476,381,75,1
1477,1477,382,57,1
1478,1478,382,58,2
1479,1479,383,57,1
1480,1480,383,58,2
1481,1481,384,58,1
1482,1482,385,75,1
1483,1483,386,58,1
1484,1484,387,68,1
1485,1485,387,69,2
1486,1486,387,47,3
1487,1487,387,81,4
1488,1488,387,79,5
1489,1489,387,81,6
1490,1490,388,68,1
1491,1491,388,69,2
1492,1492,388,47,3
1493,1493,388,67,4
1494,1494,389,88,1
1495,1495,390,57,1
1496,1496,390,88,2
1497,1497,391,68,1
1498,1498,391,69,2
1499,1499,391,47,3
1500,1500,391,74,4
1501,1501,392,68,1
1502,1502,392,69,2
1503,1503,392,47,3
1504,1504,392,78,4
1505,1505,393,55,1
1506,1506,393,47,2
1507,1507,393,85,3
1508,1508,394,76,1
1509,1509,395,55,1
1510,1510,395,47,2
1511,1511,395,56,3
1512,1512,396,55,1
1513,1513,396,47,2
1514,1514,396,50,3
1515,1515,397,58,1
1516,1516,398,57,1
1517,1517,398,58,2
1518,1518,400,68,1
1519,1519,400,69,2
1520,1520,400,47,3
1521,1521,400,81,4
1522,1522,400,79,5
1523,1523,400,81,6
1524,1524,401,68,1
1525,1525,401,69,2
1526,1526,401,47,3
1527,1527,401,67,4
1528,1528,402,88,1
1529,1529,403,57,1
1530,1530,403,88,2
1531,1531,404,68,1
1532,1532,404,69,2
1533,1533,404,47,3
1534,1534,404,78,4
1535,1535,405,76,1
1536,1536,406,57,1
1537,1537,406,58,2
1538,1538,407,58,1
1539,1539,408,59,1
1540,1540,409,58,1
1541,1541,410,58,1
1542,1542,411,55,1
1543,1543,411,47,2
1544,1544,411,50,3
1545,1545,412,55,1
1546,1546,412,47,2
1547,1547,412,50,3
1548,1548,413,55,1
1549,1549,413,47,2
1550,1550,413,50,3
1551,1551,414,55,1
1552,1552,414,47,2
1553,1553,414,50,3
1554,1554,415,55,1
1555,1555,415,47,2
1556,1556,415,50,3
1557,1557,416,55,1
1558,1558,416,47,2
1559,1559,416,50,3
1560,1560,417,55,1
1561,1561,417,47,2
1562,1562,417,50,3
1563,1563,418,55,1
1564,1564,418,47,2
1565,1565,418,50,3
1566,1566,419,58,1
1567,1567,420,58,1
1568,1568,421,58,1
1569,1569,423,58,1
1570,1570,424,58,1
1571,1571,425,58,1
1572,1572,426,58,1
1573,1573,427,55,1
1574,1574,427,47,2
1575,1575,427,50,3
1576,1576,428,55,1
1577,1577,428,47,2
1578,1578,428,50,3
1579,1579,429,55,1
1580,1580,429,47,2
1581,1581,429,50,3
1582,1582,430,58,1
1583,1583,431,58,1
1584,1584,432,55,1
1586,1586,432,47,2
1585,1585,432,50,3
1587,1587,433,55,1
1588,1588,433,47,2
1589,1589,433,50,3
1590,1590,434,55,1
1591,1591,434,47,2
1592,1592,434,50,3
1593,1593,435,55,1
1594,1594,435,47,2
1595,1595,435,50,3
1596,1596,436,55,1
1597,1597,436,47,2
1598,1598,436,50,3
1599,1599,437,55,1
1600,1600,437,47,2
1601,1601,437,48,3
1602,1602,438,55,1
1603,1603,438,47,2
1604,1604,438,48,3
1605,1605,439,68,1
1606,1606,439,69,2
1607,1607,439,47,3
1608,1608,439,68,4
1609,1609,439,105,5
1610,1610,440,68,1
1611,1611,440,69,2
1612,1612,440,47,3
1613,1613,440,68,4
1614,1614,440,105,5
1615,1615,441,68,1
1616,1616,441,69,2
1617,1617,441,47,3
1618,1618,441,68,4
1619,1619,441,105,5
1620,1620,442,68,1
1621,1621,442,69,2
1622,1622,442,47,3
1623,1623,442,68,4
1624,1624,442,105,5
1625,1625,443,68,1
1626,1626,443,69,2
1627,1627,443,47,3
1628,1628,443,68,4
1629,1629,443,105,5
1630,1630,444,68,1
1631,1631,444,69,2
1632,1632,444,47,3
1633,1633,444,68,4
1634,1634,444,105,5
1635,1635,445,52,1
1636,1636,445,47,2
1637,1637,445,64,3
1638,1638,446,68,1
1639,1639,446,69,2
1640,1640,446,47,3
1641,1641,446,67,4
1642,1642,447,68,1
1643,1643,447,69,2
1644,1644,447,47,3
1645,1645,447,74,4
1646,1646,448,68,1
1647,1647,448,69,2
1648,1648,448,47,3
1649,1649,448,74,4
1650,1650,449,68,1
1651,1651,449,69,2
1652,1652,449,47,3
1653,1653,449,74,4
1654,1654,450,69,1
1655,1655,450,68,2
1656,1656,450,47,3
1657,1657,450,72,4
1658,1658,451,68,1
1659,1659,451,69,2
1660,1660,451,47,3
1661,1661,451,78,4
1662,1662,452,76,1
1663,1663,453,57,1
1664,1664,453,58,2
1665,1665,454,58,1
1666,1666,455,59,1
1670,1670,456,68,1
1669,1669,456,69,2
1668,1668,456,47,3
1667,1667,456,67,4
1671,1671,457,88,1
1672,1672,458,57,1
1673,1673,458,88,2
1674,1674,459,68,1
1675,1675,459,69,2
1676,1676,459,47,3
1677,1677,459,74,4
1678,1678,460,69,1
1679,1679,460,68,2
1680,1680,460,47,3
1681,1681,460,72,4
1682,1682,461,68,1
1683,1683,461,69,2
1684,1684,461,47,3
1685,1685,461,78,4
1686,1686,462,76,1
1687,1687,463,57,1
1688,1688,463,58,2
1689,1689,464,58,1
1690,1690,465,59,1
1691,1691,466,88,1
1692,1692,467,57,1
1693,1693,467,88,2
1694,1694,468,58,1
1695,1695,469,57,1
1696,1696,469,58,2
1697,1697,470,88,1
1698,1698,471,57,1
1699,1699,471,88,2
1700,1700,472,58,1
1701,1701,473,57,1
1702,1702,473,58,2
1703,1703,474,68,1
1704,1704,474,69,2
1705,1705,474,47,3
1706,1706,474,74,4
1707,1707,475,55,1
1708,1708,475,47,2
1709,1709,475,50,3
1710,1710,476,55,1
1711,1711,476,47,2
1712,1712,476,56,3
1713,1713,477,55,1
1714,1714,477,47,2
1715,1715,477,56,3
1716,1716,478,55,1
1717,1717,478,47,2
1718,1718,478,77,3
1719,1719,479,104,1
1720,1720,480,68,1
1721,1721,480,69,2
1722,1722,480,47,3
1723,1723,480,72,4
1724,1724,481,58,1
1725,1725,482,69,1
1726,1726,482,47,2
1727,1727,482,101,3
1728,1728,483,55,1
1729,1729,483,47,2
1730,1730,483,103,3
1731,1731,484,58,1
1732,1732,485,58,1
1733,1733,486,58,1
1734,1734,487,58,1
1735,1735,488,58,1
1736,1736,489,58,1
1737,1737,490,58,1
1738,1738,491,55,1
1739,1739,491,47,2
1740,1740,491,50,3
1741,1741,492,55,1
1742,1742,492,47,2
1743,1743,492,50,3
1744,1744,493,55,1
1745,1745,493,47,2
1746,1746,493,50,3
1747,1747,494,55,1
1748,1748,494,47,2
1749,1749,494,50,3
1750,1750,495,55,1
1751,1751,495,47,2
1752,1752,495,50,3
1753,1753,496,55,1
1754,1754,496,47,2
1755,1755,496,50,3
1756,1756,497,58,1
1757,1757,498,58,1
1758,1758,499,69,1
1759,1759,499,107,2
1760,1760,500,69,1
1761,1761,500,107,2
1762,1762,501,69,1
1763,1763,501,107,2
1764,1764,502,69,1
1765,1765,502,107,2
1766,1766,503,69,1
1767,1767,503,107,2
1768,1768,504,69,1
1769,1769,504,107,2
1770,1770,505,69,1
1771,1771,505,107,2
1772,1772,506,69,1
1773,1773,506,107,2
1774,1774,507,69,1
1775,1775,507,107,2
1776,1776,508,69,1
1777,1777,508,107,2
1778,1778,509,58,1
1779,1779,510,55,1
1781,1781,510,47,2
1780,1780,510,50,3
1782,1782,511,55,1
1783,1783,511,47,2
1784,1784,511,50,3
1785,1785,512,58,1
1786,1786,513,58,1
1787,1787,514,69,1
1788,1788,514,107,2
1789,1789,515,55,1
1790,1790,515,47,2
1791,1791,515,50,3
1792,1792,516,55,1
1793,1793,516,47,2
1794,1794,516,103,3
1795,1795,517,104,1
1796,1796,518,58,1
1797,1797,519,58,1
1798,1798,520,58,1
1799,1799,521,58,1
1800,1800,522,58,1
1801,1801,523,58,1
1802,1802,524,55,1
1803,1803,524,47,2
1804,1804,524,48,3
1805,1805,525,55,1
1806,1806,525,47,2
1807,1807,525,48,3
1810,1810,526,55,1
1808,1808,526,47,2
1809,1809,526,48,3
1811,1811,527,55,1
1812,1812,527,47,2
1813,1813,527,48,3
1814,1814,528,55,1
1815,1815,528,47,2
1816,1816,528,48,3
1817,1817,529,58,1
1818,1818,530,58,1
1819,1819,531,58,1
1820,1820,532,55,1
1821,1821,532,47,2
1822,1822,532,50,3
1823,1823,533,55,1
1824,1824,533,47,2
1825,1825,533,50,3
1826,1826,534,55,1
1827,1827,534,47,2
1828,1828,534,50,3
1829,1829,535,58,1
1830,1830,536,55,1
1831,1831,536,47,2
1832,1832,536,50,3
1833,1833,537,58,1
1834,1834,538,55,1
1835,1835,538,47,2
1836,1836,538,50,3
1837,1837,539,55,1
1838,1838,539,47,2
1839,1839,539,50,3
1840,1840,540,55,1
1841,1841,540,47,2
1842,1842,540,50,3
1843,1843,541,55,1
1844,1844,541,47,2
1845,1845,541,50,3
1846,1846,542,58,1
1847,1847,543,58,1
1848,1848,544,55,1
1849,1849,544,47,2
1850,1850,544,56,3
1851,1851,545,58,1
1852,1852,546,58,1
1853,1853,547,58,1
1854,1854,548,58,1
1855,1855,549,58,1
1856,1856,550,58,1
1857,1857,551,58,1
1858,1858,552,58,1
1859,1859,553,58,1
